episode,reward,training_reward,steps,success,epsilon
1,-3.38,-3.26,18,0,1.0
2,-5.799999999999982,-5.830000000000001,140,0,0.996
3,-2.0799999999999996,-2.0199999999999996,8,0,0.992016
4,-5.079999999999998,-4.93,38,0,0.988047936
5,-9.55999999999999,-9.65,86,0,0.984095744256
6,-8.999999999999982,-8.970000000000011,140,0,0.980159361278976
7,-5.0600000000000005,-5.15,66,0,0.97623872383386
8,-4.489999999999998,-4.369999999999999,29,0,0.9723337689385245
9,-6.839999999999988,-6.930000000000007,104,0,0.9684444338627705
10,-2.3,-2.3299999999999996,10,0,0.9645706561273194
11,-3.26,-3.2299999999999995,26,0,0.9607123735028101
12,-3.74,-3.7700000000000005,64,0,0.9568695240087989
13,-8.999999999999984,-8.91000000000001,140,0,0.9530420459127636
14,-9.799999999999986,-9.710000000000015,140,0,0.9492298777291126
15,-12.7,-12.850000000000016,140,0,0.9454329582181962
16,-3.3499999999999996,-3.38,15,0,0.9416512263853234
17,-7.599999999999993,-7.48,80,0,0.9378846214797821
18,-4.869999999999999,-4.72,17,0,0.934133082993863
19,-11.699999999999992,-11.760000000000012,140,0,0.9303965506618875
20,-11.799999999999994,-11.74000000000003,140,0,0.92667496445924
21,-10.599999999999987,-10.570000000000014,140,0,0.922968264601403
22,-7.599999999999992,-7.5400000000000045,140,0,0.9192763915429975
23,-2.05,-2.0799999999999996,5,0,0.9155992859768255
24,-4.989999999999993,-4.93,79,0,0.9119368888329182
25,-7.999999999999982,-7.910000000000007,140,0,0.9082891412775865
26,-6.469999999999991,-6.410000000000002,107,0,0.9046559847124762
27,-8.239999999999991,-8.360000000000003,94,0,0.9010373607736263
28,-6.179999999999995,-5.879999999999999,38,0,0.8974332113305318
29,-3.87,-3.96,17,0,0.8938434784852096
30,-2.73,-2.6099999999999994,13,0,0.8902681045712688
31,-8.199999999999985,-8.110000000000008,140,0,0.8867070321529837
32,-3.07,-3.1599999999999997,7,0,0.8831602040243718
33,-7.599999999999986,-7.45000000000001,140,0,0.8796275632082743
34,-10.769999999999996,-10.620000000000003,57,0,0.8761090529554412
35,1.520000000000005,1.850000000000001,88,1,0.8726046167436194
36,-3.43,-3.2499999999999996,43,0,0.8691141982766449
37,-5.2699999999999925,-5.09,97,0,0.8656377414835383
38,-2.66,-2.5999999999999996,26,0,0.8621751905176042
39,-2.01,-1.9799999999999998,1,0,0.8587264897555338
40,-15.599999999999994,-15.630000000000013,140,0,0.8552915837965116
41,-2.61,-2.4,21,0,0.8518704174613255
42,-6.859999999999996,-6.710000000000003,36,0,0.8484629357914802
43,-2.96,-2.78,16,0,0.8450690840483143
44,-3.13,-2.9499999999999993,13,0,0.841688807712121
45,-7.099999999999977,-7.040000000000011,140,0,0.8383220524812725
46,-2.73,-2.55,13,0,0.8349687642713474
47,-5.799999999999985,-5.650000000000006,140,0,0.8316288892142619
48,-5.449999999999995,-5.4799999999999995,45,0,0.8283023736574049
49,1.1100000000000083,1.3200000000000003,89,1,0.8249891641627752
50,1.4600000000000106,1.6100000000000008,94,1,0.8216892075061242
51,1.0200000000000102,1.1699999999999986,88,1,0.8184024506760996
52,-12.699999999999992,-12.70000000000002,140,0,0.8151288408733952
53,-2.4699999999999998,-2.5599999999999996,7,0,0.8118683255099016
54,-12.199999999999994,-12.200000000000006,140,0,0.8086208522078621
55,-4.329999999999998,-4.18,23,0,0.8053863687990306
56,-2.03,-1.9999999999999998,3,0,0.8021648233238344
57,4.8,4.95,40,1,0.798956164030539
58,-4.609999999999996,-4.55,41,0,0.7957603393744169
59,-2.33,-2.2699999999999996,13,0,0.7925772980169192
60,-2.4699999999999998,-2.32,7,0,0.7894069888248515
61,-4.77,-4.619999999999999,17,0,0.7862493608695521
62,-2.82,-2.79,12,0,0.7831043634260739
63,-2.3899999999999997,-2.5099999999999993,19,0,0.7799719459723696
64,-2.87,-2.8099999999999996,27,0,0.7768520581884801
65,-5.599999999999985,-5.360000000000005,140,0,0.7737446499557262
66,-3.51,-3.3899999999999992,31,0,0.7706496713559033
67,-2.41,-2.71,41,0,0.7675670726704797
68,-5.609999999999997,-5.639999999999999,81,0,0.7644968043797978
69,-5.599999999999988,-5.660000000000007,140,0,0.7614388171622787
70,-3.9699999999999998,-3.9099999999999997,47,0,0.7583930618936295
71,0.960000000000008,1.2000000000000002,104,1,0.755359489646055
72,3.08,3.3200000000000003,52,1,0.7523380516874708
73,-2.3099999999999996,-2.19,11,0,0.7493286994807209
74,-4.969999999999997,-4.969999999999999,57,0,0.746331384682798
75,-4.649999999999998,-4.5,25,0,0.7433460591440668
76,-3.42,-3.3,22,0,0.7403726749074906
77,-6.599999999999982,-6.360000000000005,140,0,0.7374111842078607
78,1.5000000000000089,1.6500000000000004,90,1,0.7344615394710292
79,-2.0599999999999996,-1.9399999999999997,6,0,0.731523693313145
80,4.39,4.630000000000001,61,1,0.7285975985398925
81,1.5800000000000076,1.7300000000000004,82,1,0.725683208145733
82,-5.109999999999999,-4.959999999999999,21,0,0.72278047531315
83,2.8000000000000016,3.070000000000001,60,1,0.7198893534118974
84,3.12,3.2700000000000005,48,1,0.7170097959982499
85,-5.159999999999999,-5.01,36,0,0.7141417568142568
86,-4.03,-3.8499999999999996,63,0,0.7112851897869998
87,4.33,4.540000000000001,47,1,0.7084400490278518
88,-4.17,-3.9899999999999998,17,0,0.7056062888317405
89,-3.61,-3.58,21,0,0.7027838636764135
90,-3.08,-3.2299999999999995,48,0,0.6999727282217079
91,3.85,4.0,35,1,0.6971728373088211
92,2.1000000000000045,2.4300000000000006,70,1,0.6943841459595858
93,3.78,4.0200000000000005,62,1,0.6916066093757474
94,-3.08,-3.23,48,0,0.6888401829382443
95,3.24,3.5700000000000007,76,1,0.6860848222064914
96,-2.0500000000000003,-2.079999999999999,45,0,0.6833404829176654
97,-3.06,-2.88,26,0,0.6806071209859947
98,-0.7699999999999871,-0.44000000000001016,137,1,0.6778846925020507
99,-2.0599999999999996,-1.9399999999999997,6,0,0.6751731537320426
100,3.65,3.8000000000000007,55,1,0.6724724611171143
101,-4.209999999999999,-4.029999999999999,61,0,0.6697825712726458
102,-0.17999999999998728,0.02999999999998959,138,1,0.6671034409875553
103,-1.1599999999999997,-1.1899999999999995,16,0,0.664435027223605
104,-3.59,-3.4699999999999998,19,0,0.6617772871147106
105,3.19,3.4000000000000004,81,1,0.6591301779662517
106,-2.18,-2.21,38,0,0.6564936572543867
107,2.8300000000000005,3.0400000000000005,77,1,0.6538676826253691
108,5.59,5.74,21,1,0.6512522118948676
109,4.22,4.430000000000001,58,1,0.6486472030472881
110,5.12,5.33,48,1,0.646052614235099
111,3.5299999999999994,3.6800000000000006,67,1,0.6434684037781586
112,-1.5999999999999999,-1.4799999999999998,20,0,0.640894530163046
113,-3.33,-3.21,33,0,0.6383309520423938
114,5.13,5.28,27,1,0.6357776282342242
115,3.6799999999999997,3.89,72,1,0.6332345177212874
116,-3.4000000000000004,-3.0999999999999996,60,0,0.6307015796504022
117,4.26,4.5,54,1,0.6281787733318006
118,3.65,3.9800000000000004,55,1,0.6256660582384734
119,4.53,4.7700000000000005,47,1,0.6231633940055196
120,5.57,5.720000000000001,23,1,0.6206707404294974
121,4.72,4.87,48,1,0.6181880574677795
122,3.92,4.25,78,1,0.6157153052379084
123,-4.099999999999999,-4.069999999999999,30,0,0.6132524440169568
124,5.88,6.03,12,1,0.6107994342408889
125,-2.8,-2.59,20,0,0.6083562365039253
126,5.57,5.720000000000001,23,1,0.6059228115579096
127,-2.52,-2.3999999999999995,12,0,0.603499120311678
128,5.38,5.53,22,1,0.6010851238304312
129,-2.48,-2.4199999999999995,8,0,0.5986807833351095
130,3.9299999999999997,4.140000000000001,47,1,0.5962860602017691
131,-2.8999999999999995,-2.7799999999999994,30,0,0.5939009159609621
132,-2.9299999999999997,-2.78,13,0,0.5915253122971182
133,-2.03,-2.0599999999999996,3,0,0.5891592110479298
134,4.68,5.010000000000001,52,1,0.586802574203738
135,4.57,4.720000000000001,43,1,0.5844553639069231
136,4.66,4.930000000000001,34,1,0.5821175424512954
137,-2.6799999999999997,-2.6199999999999997,28,0,0.5797890722814902
138,-1.5199999999999998,-1.6699999999999997,12,0,0.5774699159923643
139,4.08,4.41,72,1,0.5751600363283949
140,4.46,4.7,34,1,0.5728593961830812
